Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,192.460007,194.509003,184.800003,186.830002,186.830002,227300
2022-06-02,186.149994,202.320007,186.149994,202.000000,202.000000,499700
2022-06-03,198.520004,204.229996,197.070007,198.839996,198.839996,316100
2022-06-06,200.839996,204.270004,197.869995,199.759995,199.759995,239700
2022-06-07,197.350006,205.850006,195.720001,205.770004,205.770004,298200
2022-06-08,203.899994,209.520004,202.729996,203.419998,203.419998,263500
2022-06-09,201.169998,205.460007,196.889999,199.570007,199.570007,564300
2022-06-10,195.089996,202.410004,188.000000,193.149994,193.149994,668500
2022-06-13,185.699997,188.250000,177.039993,178.089996,178.089996,621100
2022-06-14,178.089996,181.529999,172.964996,176.100006,176.100006,295300
2022-06-15,180.669998,187.589996,179.283005,183.440002,183.440002,306700
2022-06-16,174.860001,179.860001,169.000000,170.740005,170.740005,363000
2022-06-17,171.020004,180.860001,170.164993,177.720001,177.720001,583200
2022-06-21,180.750000,183.830002,177.710007,178.529999,178.529999,342000
2022-06-22,175.289993,184.360001,175.289993,182.539993,182.539993,216200
2022-06-23,184.589996,192.869995,181.699997,191.070007,191.070007,251900
2022-06-24,193.380005,197.500000,191.600006,197.220001,197.220001,331300
2022-06-27,199.550003,199.860001,191.610001,193.970001,193.970001,151700
2022-06-28,192.259995,195.000000,183.710007,184.009995,184.009995,199300
2022-06-29,182.449997,183.139999,178.789993,182.130005,182.130005,354400
2022-06-30,178.270004,179.000000,169.595001,174.000000,174.000000,378600
2022-07-01,174.000000,176.009995,170.970001,175.929993,175.929993,267500
2022-07-05,171.860001,185.669998,169.559998,185.139999,185.139999,373300
2022-07-06,186.149994,188.574997,179.940002,181.179993,181.179993,185500
2022-07-07,181.610001,186.005005,180.029999,184.809998,184.809998,158800
2022-07-08,181.919998,188.770004,180.000000,187.949997,187.949997,227100
2022-07-11,185.000000,185.367996,179.669998,179.899994,179.899994,150400
2022-07-12,179.410004,183.550003,174.460007,176.059998,176.059998,190400
2022-07-13,171.580002,178.960007,169.889999,176.279999,176.279999,140300
2022-07-14,175.119995,175.119995,166.720001,169.770004,169.770004,243800
2022-07-15,173.509995,173.875000,169.800003,172.320007,172.320007,187600
2022-07-18,177.639999,185.929993,176.675003,185.580002,185.580002,501900
2022-07-19,188.919998,192.740005,186.740005,191.919998,191.919998,231700
2022-07-20,190.669998,193.490005,188.360001,191.039993,191.039993,176300
2022-07-21,190.940002,197.940002,188.410004,196.789993,196.789993,209900
2022-07-22,196.770004,199.199997,191.880005,194.550003,194.550003,176700
2022-07-25,195.990005,195.990005,184.000000,187.330002,187.330002,239300
2022-07-26,186.740005,186.740005,181.440002,183.429993,183.429993,164100
2022-07-27,186.779999,193.835007,184.429993,192.419998,192.419998,176400
2022-07-28,192.570007,199.009995,188.830002,197.860001,197.860001,275800
2022-07-29,197.960007,202.429993,195.500000,199.240005,199.240005,363300
2022-08-01,196.699997,207.410004,195.520004,206.229996,206.229996,348700
2022-08-02,203.339996,209.940002,203.339996,207.330002,207.330002,203700
2022-08-03,207.800003,219.059998,207.800003,218.570007,218.570007,256600
2022-08-04,219.320007,230.610001,216.350006,230.059998,230.059998,531800
2022-08-05,225.490005,234.000000,223.389999,233.070007,233.070007,489900
2022-08-08,234.279999,238.389999,231.770004,233.419998,233.419998,403600
2022-08-09,231.440002,231.649994,226.259995,230.639999,230.639999,351100
2022-08-10,239.130005,240.000000,233.729996,237.229996,237.229996,440600
2022-08-11,238.169998,238.904999,223.690002,225.270004,225.270004,319800
2022-08-12,227.220001,230.089996,225.330002,229.509995,229.509995,311200
2022-08-15,230.610001,235.449997,229.630005,234.759995,234.759995,375200
2022-08-16,235.460007,239.910004,232.130005,234.479996,234.479996,541200
2022-08-17,230.009995,233.399994,225.889999,229.369995,229.369995,421700
2022-08-18,229.500000,232.809998,226.460007,229.899994,229.899994,522100
2022-08-19,215.929993,228.279999,213.559998,224.479996,224.479996,1121300
2022-08-22,219.550003,225.070007,219.100006,222.610001,222.610001,963000
2022-08-23,222.020004,228.720001,221.559998,223.589996,223.589996,292800
2022-08-24,225.979996,230.279999,225.647995,227.279999,227.279999,364200
2022-08-25,229.740005,231.990005,227.095001,228.399994,228.399994,251800
2022-08-26,228.059998,228.059998,213.470001,213.789993,213.789993,268900
2022-08-29,211.389999,213.690002,207.410004,211.600006,211.600006,375800
2022-08-30,214.789993,214.789993,207.649994,209.720001,209.720001,254700
2022-08-31,210.000000,212.970001,208.550003,210.770004,210.770004,249700
2022-09-01,207.660004,210.479996,198.309998,204.080002,204.080002,455800
2022-09-02,206.490005,208.850006,200.925003,204.190002,204.190002,189700
2022-09-06,203.830002,205.029999,199.410004,202.779999,202.779999,276100
2022-09-07,201.940002,208.619995,200.690002,208.289993,208.289993,105200
2022-09-08,206.050003,220.399994,203.449997,219.449997,219.449997,363200
2022-09-09,220.839996,232.190002,219.983994,230.240005,230.240005,580000
2022-09-12,231.279999,231.544998,223.089996,227.669998,227.669998,279600
2022-09-13,218.330002,227.259995,217.880005,223.899994,223.899994,288200
2022-09-14,225.919998,226.699997,219.850006,223.259995,223.259995,289500
2022-09-15,220.929993,226.589996,218.539993,219.820007,219.820007,224700
2022-09-16,215.639999,215.639999,206.020004,209.020004,209.020004,261600
2022-09-19,206.250000,211.384995,206.250000,210.259995,210.259995,225500
2022-09-20,207.869995,208.811996,205.199997,207.630005,207.630005,114800
2022-09-21,209.550003,218.910004,209.550003,210.410004,210.410004,234100
2022-09-22,209.000000,209.147995,191.960007,192.410004,192.410004,395800
2022-09-23,189.160004,192.115005,183.750000,190.089996,190.089996,439000
2022-09-26,189.630005,197.000000,188.029999,191.570007,191.570007,385300
2022-09-27,195.699997,198.509995,187.699997,189.479996,189.479996,215700
2022-09-28,190.070007,198.880005,188.949997,197.270004,197.270004,558900
2022-09-29,190.589996,190.589996,182.759995,187.139999,187.139999,280200
